,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,Phone,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
48,VA-101-1010210,5100120,VA-101,9,12,T.C. Williams High,ALEXANDRIA CITY PBLC SCHS,Alexandria city,3330 King St,Alexandria,VA,22302,(703)824-6800,City: Midsize,No,No,No,†,3783,308.35,12.3,1434,307
49,VA-029-0291371,5101260,VA-029,9,12,Thomas Jefferson High for Science and Technology,FAIRFAX CO PBLC SCHS,Fairfax County,6560 Braddock Rd,Alexandria,VA,22312,(703)750-8300,Suburb: Large,No,Yes,No,†,1789,105.6,16.9,22,10
50,VA-029-0291160,5101260,VA-029,7,8,Twain Middle,FAIRFAX CO PBLC SCHS,Fairfax County,4700 Franconia Rd,Alexandria,VA,22310,(703)313-3700,Suburb: Large,No,Yes,No,†,985,80.3,12.3,222,83
51,VA-029-0292252,5101260,VA-029,PK,PK,Virginia Hills E.C. Resource Ctr.,FAIRFAX CO PBLC SCHS,Fairfax County,6520 Diana Ln,Alexandria,VA,22310,(703)317-1400,Suburb: Large,No,No,No,†,237,33.17,7.1,–,–
52,VA-029-0291320,5101260,VA-029,PK,6,Washington Mill Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,9100 Cherrytree Dr,Alexandria,VA,22309,(703)619-2500,Suburb: Large,No,Yes,Yes,Yes,595,38.01,15.7,227,60
53,VA-029-0291080,5101260,VA-029,PK,6,Waynewood Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,1205 Waynewood Blvd,Alexandria,VA,22308,(703)704-7100,Suburb: Large,No,No,No,†,790,43.74,18.1,11,3
54,VA-029-0290900,5101260,VA-029,9,12,West Potomac High,FAIRFAX CO PBLC SCHS,Fairfax County,6500 Quander Rd,Alexandria,VA,22307,(703)718-2500,Suburb: Large,No,No,No,†,2646,172.56,15.3,816,178
55,VA-029-0292455,5101260,VA-029,†,†,West Potomac High School Academy,FAIRFAX CO PBLC SCHS,Fairfax County,6500 Quander Rd,Alexandria,VA,22307,(703)718-2500,Suburb: Large,No,No,†,†,†,–,†,†,†
56,VA-029-0290520,5101260,VA-029,PK,5,Weyanoke Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6520 Braddock Rd,Alexandria,VA,22312,(703)813-5400,Suburb: Large,No,No,Yes,Yes,566,40.5,14,361,66
57,VA-029-0291550,5101260,VA-029,7,8,Whitman Middle,FAIRFAX CO PBLC SCHS,Fairfax County,2500 Parkers Ln,Alexandria,VA,22306,(703)660-2400,Suburb: Large,No,No,No,†,975,80.55,12.1,369,134
58,VA-101-1010190,5100120,VA-101,PK,5,William Ramsay Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,5700 Sanger Ave,Alexandria,VA,22311,(703)824-6950,City: Midsize,No,No,Yes,Yes,922,48.5,19,694,102
59,VA-029-0290380,5101260,VA-029,PK,6,Woodlawn Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8505 Highland Ln,Alexandria,VA,22309,(703)619-4800,Suburb: Large,No,No,Yes,Yes,583,46.42,12.6,306,80
60,VA-029-0290590,5101260,VA-029,PK,6,Woodley Hills Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8718 Old Mt Vernon Rd,Alexandria,VA,22309,(703)799-2000,Suburb: Large,No,No,Yes,Yes,634,50.5,12.6,359,55
